,Season,Game_ID,Game_Date,Away_Team,Home_Team,Year,Rivalry,Day_Code,Holiday,First,Last,Home_All_Stars,Away_All_Stars,Home_Market_Size,Away_Market_Size,Home_Championships,Away_Championships,Home_Playoffs,Away_Playoffs,Home_Twitter,Away_Twitter,Home_Win_Pct,Away_Win_Pct,Total_Viewers
42,2016-17,21600047,11/1/2016,HOU,CLE,0,0,1,0,0,0,3.0,1.0,4053.0,6579.0,1.0,2.0,7.0,9.0,1.138,0.985,1.0,0.666666666667,45160
43,2016-17,21600052,11/1/2016,MEM,MIN,0,0,1,0,0,0,0.0,1.0,4667.0,1604.0,0.0,0.0,4.0,9.0,0.458,0.549,0.0,0.666666666667,12816
44,2016-17,21600051,11/1/2016,MIL,NOP,0,0,1,0,0,0,1.0,1.0,1559.0,2255.0,0.0,1.0,6.0,7.0,0.457,0.462,0.0,0.333333333333,14356
45,2016-17,21600046,11/1/2016,ORL,PHI,0,0,1,0,0,0,0.0,0.0,7468.0,3592.0,3.0,0.0,8.0,9.0,0.618,1.337,0.0,0.0,21285
46,2016-17,21600062,11/2/2016,DAL,UTA,0,0,2,0,0,0,0.0,0.0,2505.0,7090.0,0.0,1.0,8.0,15.0,0.455,0.879,0.5,0.0,10241
47,2016-17,21600057,11/2/2016,DET,BKN,0,0,2,0,0,0,0.0,0.0,19995.0,4938.0,0.0,3.0,9.0,9.0,0.648,0.518,0.25,0.75,12283
48,2016-17,21600058,11/2/2016,HOU,NYK,0,0,2,0,0,0,1.0,1.0,19995.0,6579.0,2.0,2.0,5.0,9.0,1.393,0.985,0.333333333333,0.5,22497
49,2016-17,21600059,11/2/2016,LAL,ATL,0,0,2,0,0,0,1.0,0.0,6032.0,17054.0,1.0,16.0,9.0,12.0,0.53,4.81,1.0,0.25,22293
50,2016-17,21600060,11/2/2016,NOP,MEM,0,0,2,0,0,0,1.0,1.0,1604.0,1559.0,0.0,0.0,9.0,6.0,0.549,0.457,0.5,0.0,11902
51,2016-17,21600064,11/2/2016,OKC,LAC,0,0,2,0,0,0,1.0,1.0,17054.0,1737.0,0.0,1.0,6.0,8.0,0.93,1.285,1.0,1.0,32263
52,2016-17,21600056,11/2/2016,PHI,CHA,0,0,2,0,0,0,1.0,0.0,3462.0,7468.0,0.0,3.0,5.0,8.0,0.516,0.618,0.666666666667,0.0,12396
53,2016-17,21600055,11/2/2016,TOR,WAS,0,0,2,0,0,0,1.0,2.0,5982.0,7566.0,1.0,0.0,6.0,7.0,0.493,1.095,0.0,0.666666666667,18661
54,2016-17,21600068,11/3/2016,BOS,CLE,0,0,3,0,0,0,3.0,1.0,4053.0,6448.0,1.0,17.0,7.0,12.0,1.138,1.863,1.0,0.75,35052
55,2016-17,21600067,11/3/2016,DEN,MIN,0,0,3,0,0,0,0.0,0.0,4667.0,3921.0,0.0,0.0,4.0,10.0,0.458,0.476,0.333333333333,0.333333333333,15912
56,2016-17,21600065,11/3/2016,SAC,ORL,0,0,3,0,0,0,0.0,1.0,3592.0,3400.0,0.0,1.0,9.0,6.0,1.337,0.459,0.25,0.4,19494
57,2016-17,21600070,11/4/2016,ATL,WAS,0,0,4,0,0,0,1.0,1.0,5982.0,6032.0,1.0,1.0,6.0,9.0,0.493,0.53,0.0,0.75,21556
58,2016-17,21600072,11/4/2016,CHA,BKN,0,0,4,0,0,0,0.0,1.0,19995.0,3462.0,0.0,0.0,9.0,5.0,0.648,0.516,0.4,0.75,12057
59,2016-17,21600078,11/4/2016,GSW,LAL,0,0,4,0,0,0,0.0,4.0,17054.0,6750.0,16.0,4.0,12.0,5.0,4.81,1.688,0.4,0.8,50226
60,2016-17,21600074,11/4/2016,LAC,MEM,0,0,4,0,0,0,1.0,1.0,1604.0,17054.0,0.0,0.0,9.0,6.0,0.549,0.93,0.6,0.75,11167
61,2016-17,21600071,11/4/2016,MIA,TOR,0,0,4,0,0,0,2.0,0.0,7566.0,3842.0,0.0,3.0,7.0,12.0,1.095,3.335,0.75,0.5,16590
62,2016-17,21600075,11/4/2016,PHX,NOP,0,0,4,0,0,0,1.0,0.0,1559.0,4545.0,0.0,0.0,6.0,7.0,0.457,0.513,0.0,0.2,19451
63,2016-17,21600076,11/4/2016,POR,DAL,0,0,4,0,0,0,0.0,0.0,7090.0,3010.0,1.0,1.0,15.0,9.0,0.879,0.576,0.0,0.4,12324
64,2016-17,21600077,11/4/2016,SAS,UTA,0,0,4,0,0,0,0.0,1.0,2505.0,2193.0,0.0,5.0,8.0,16.0,0.455,1.278,0.6,0.8,18885
65,2016-17,21600083,11/5/2016,CHI,IND,0,0,5,0,0,0,1.0,1.0,2642.0,9474.0,0.0,6.0,11.0,10.0,0.716,2.505,0.4,0.6,17387
66,2016-17,21600080,11/5/2016,CLE,PHI,0,0,5,0,0,0,0.0,3.0,7468.0,4053.0,3.0,1.0,8.0,7.0,0.618,1.138,0.0,1.0,54229
67,2016-17,21600084,11/5/2016,HOU,ATL,0,0,5,0,0,0,1.0,1.0,6032.0,6579.0,1.0,2.0,9.0,9.0,0.53,0.985,0.6,0.6,19454
68,2016-17,21600086,11/5/2016,LAC,SAS,0,0,5,0,0,0,1.0,1.0,2193.0,17054.0,5.0,0.0,16.0,6.0,1.278,0.93,0.833333333333,0.8,35096
69,2016-17,21600079,11/5/2016,MIN,OKC,0,0,5,0,0,0,1.0,0.0,1737.0,4667.0,1.0,0.0,8.0,4.0,1.285,0.458,0.8,0.25,34055
70,2016-17,21600085,11/5/2016,SAC,MIL,0,0,5,0,0,0,1.0,1.0,2255.0,3400.0,1.0,1.0,7.0,6.0,0.462,0.459,0.6,0.333333333333,14313
71,2016-17,21600081,11/5/2016,WAS,ORL,0,0,5,0,0,0,0.0,0.0,3592.0,5982.0,0.0,1.0,9.0,6.0,1.337,0.493,0.4,0.25,13713
72,2016-17,21600091,11/6/2016,DEN,BOS,0,0,6,0,0,0,1.0,0.0,6448.0,3921.0,17.0,0.0,12.0,10.0,1.863,0.476,0.6,0.4,13062
73,2016-17,21600090,11/6/2016,MIL,DAL,0,0,6,0,0,0,0.0,1.0,7090.0,2255.0,1.0,1.0,15.0,7.0,0.879,0.462,0.0,0.666666666667,19651
74,2016-17,21600092,11/6/2016,PHX,LAL,0,0,6,0,0,0,0.0,0.0,17054.0,4545.0,16.0,0.0,12.0,7.0,4.81,0.513,0.5,0.333333333333,23222
75,2016-17,21600088,11/6/2016,POR,MEM,0,0,6,0,0,0,1.0,0.0,1604.0,3010.0,0.0,1.0,9.0,9.0,0.549,0.576,0.5,0.5,22621
76,2016-17,21600089,11/6/2016,SAC,TOR,0,0,6,0,0,0,2.0,1.0,7566.0,3400.0,0.0,1.0,7.0,6.0,1.095,0.459,0.8,0.285714285714,19734
77,2016-17,21600087,11/6/2016,UTA,NYK,0,0,6,0,0,0,1.0,1.0,19995.0,2505.0,2.0,0.0,5.0,8.0,1.393,0.455,0.4,0.5,32867
78,2016-17,21600098,11/7/2016,DET,LAC,0,0,0,0,0,0,1.0,0.0,17054.0,4938.0,0.0,3.0,6.0,9.0,0.93,0.518,0.833333333333,0.666666666667,14044
79,2016-17,21600094,11/7/2016,HOU,WAS,0,0,0,0,0,0,1.0,1.0,5982.0,6579.0,1.0,2.0,6.0,9.0,0.493,0.985,0.2,0.5,20057
80,2016-17,21600095,11/7/2016,IND,CHA,0,0,0,0,0,0,1.0,1.0,3462.0,2642.0,0.0,0.0,5.0,11.0,0.516,0.716,0.8,0.5,13954
81,2016-17,21600097,11/7/2016,MIA,OKC,0,0,0,0,0,0,1.0,0.0,1737.0,3842.0,1.0,3.0,8.0,12.0,1.285,3.335,0.833333333333,0.4,21952
82,2016-17,21600099,11/7/2016,NOP,GSW,0,0,0,0,0,0,4.0,1.0,6750.0,1559.0,4.0,0.0,5.0,6.0,1.688,0.457,0.666666666667,0.0,42524
83,2016-17,21600100,11/8/2016,ATL,CLE,0,0,1,0,0,0,3.0,1.0,4053.0,6032.0,1.0,1.0,7.0,9.0,1.138,0.53,1.0,0.666666666667,44960
84,2016-17,21600104,11/8/2016,DAL,LAL,0,0,1,0,0,0,0.0,0.0,17054.0,7090.0,16.0,1.0,12.0,15.0,4.81,0.879,0.571428571429,0.166666666667,24491
85,2016-17,21600102,11/8/2016,DEN,MEM,0,0,1,0,0,0,1.0,0.0,1604.0,3921.0,0.0,0.0,9.0,10.0,0.549,0.476,0.428571428571,0.5,16643
86,2016-17,21600101,11/8/2016,MIN,BKN,0,0,1,0,0,0,0.0,0.0,19995.0,4667.0,0.0,0.0,9.0,4.0,0.648,0.458,0.333333333333,0.2,18683
87,2016-17,21600105,11/8/2016,NOP,SAC,0,0,1,0,0,0,1.0,1.0,3400.0,1559.0,1.0,0.0,6.0,6.0,0.459,0.457,0.375,0.0,9374
88,2016-17,21600103,11/8/2016,PHX,POR,0,0,1,0,0,0,0.0,0.0,3010.0,4545.0,1.0,0.0,9.0,7.0,0.576,0.513,0.571428571429,0.285714285714,16491
89,2016-17,21600106,11/9/2016,BKN,NYK,0,1,2,0,0,0,1.0,0.0,19995.0,19995.0,2.0,0.0,5.0,9.0,1.393,0.648,0.333333333333,0.428571428571,23224
90,2016-17,21600107,11/9/2016,BOS,WAS,0,0,2,0,0,0,1.0,1.0,5982.0,6448.0,1.0,17.0,6.0,12.0,0.493,1.863,0.166666666667,0.5,11471
91,2016-17,21600111,11/9/2016,CHI,ATL,0,0,2,0,0,0,1.0,1.0,6032.0,9474.0,1.0,6.0,9.0,10.0,0.53,2.505,0.714285714286,0.571428571429,19354
92,2016-17,21600116,11/9/2016,DAL,GSW,0,0,2,0,0,0,4.0,0.0,6750.0,7090.0,4.0,1.0,5.0,15.0,1.688,0.879,0.714285714286,0.285714285714,30939
93,2016-17,21600114,11/9/2016,HOU,SAS,0,1,2,0,0,0,1.0,1.0,2193.0,6579.0,5.0,2.0,16.0,9.0,1.278,0.985,0.714285714286,0.571428571429,30160
94,2016-17,21600109,11/9/2016,MIN,ORL,0,0,2,0,0,0,0.0,0.0,3592.0,4667.0,0.0,0.0,9.0,4.0,1.337,0.458,0.428571428571,0.166666666667,10826
95,2016-17,21600110,11/9/2016,PHI,IND,0,0,2,0,0,0,1.0,0.0,2642.0,7468.0,0.0,3.0,11.0,8.0,0.716,0.618,0.428571428571,0.0,18285
96,2016-17,21600115,11/9/2016,POR,LAC,0,0,2,0,0,0,1.0,0.0,17054.0,3010.0,0.0,1.0,6.0,9.0,0.93,0.576,0.857142857143,0.625,14308
97,2016-17,21600108,11/9/2016,UTA,CHA,0,0,2,0,0,0,1.0,1.0,3462.0,2505.0,0.0,0.0,5.0,8.0,0.516,0.455,0.833333333333,0.625,9833
98,2016-17,21600118,11/10/2016,CHI,MIA,0,1,3,0,0,0,0.0,1.0,3842.0,9474.0,3.0,6.0,12.0,10.0,3.335,2.505,0.333333333333,0.5,33327
99,2016-17,21600120,11/10/2016,LAL,SAC,0,0,3,0,0,0,1.0,0.0,3400.0,17054.0,1.0,16.0,6.0,12.0,0.459,4.81,0.444444444444,0.5,21465
100,2016-17,21600117,11/10/2016,NOP,MIL,0,0,3,0,0,0,1.0,1.0,2255.0,1559.0,1.0,0.0,7.0,6.0,0.462,0.457,0.571428571429,0.0,19504
101,2016-17,21600127,11/11/2016,DET,SAS,0,0,4,0,0,0,1.0,0.0,2193.0,4938.0,5.0,3.0,16.0,9.0,1.278,0.518,0.625,0.5,18795
102,2016-17,21600121,11/11/2016,IND,PHI,0,0,4,0,0,0,0.0,1.0,7468.0,2642.0,3.0,0.0,8.0,11.0,0.618,0.716,0.0,0.5,26058
103,2016-17,21600126,11/11/2016,LAC,OKC,0,0,4,0,0,0,1.0,1.0,1737.0,17054.0,1.0,0.0,8.0,6.0,1.285,0.93,0.75,0.875,34404
104,2016-17,21600125,11/11/2016,NYK,BOS,0,1,4,0,0,0,1.0,1.0,6448.0,19995.0,17.0,2.0,12.0,5.0,1.863,1.393,0.428571428571,0.428571428571,26413
105,2016-17,21600128,11/11/2016,SAC,POR,0,0,4,0,0,0,0.0,1.0,3010.0,3400.0,1.0,1.0,9.0,6.0,0.576,0.459,0.555555555556,0.4,19891
106,2016-17,21600123,11/11/2016,TOR,CHA,0,0,4,0,0,0,1.0,2.0,3462.0,7566.0,0.0,0.0,5.0,7.0,0.516,1.095,0.857142857143,0.714285714286,18236
107,2016-17,21600124,11/11/2016,UTA,ORL,0,0,4,0,0,0,0.0,1.0,3592.0,2505.0,0.0,0.0,9.0,8.0,1.337,0.455,0.375,0.555555555556,8935
108,2016-17,21600139,11/12/2016,BKN,PHX,0,0,5,1,0,0,0.0,0.0,4545.0,19995.0,0.0,0.0,7.0,9.0,0.513,0.648,0.333333333333,0.375,9926
109,2016-17,21600135,11/12/2016,LAC,MIN,0,0,5,1,0,0,0.0,1.0,4667.0,17054.0,0.0,0.0,4.0,6.0,0.458,0.93,0.285714285714,0.888888888889,17917
110,2016-17,21600129,11/12/2016,LAL,NOP,0,0,5,1,0,0,1.0,0.0,1559.0,17054.0,0.0,16.0,6.0,12.0,0.457,4.81,0.111111111111,0.555555555556,31346
111,2016-17,21600137,11/12/2016,MEM,MIL,0,0,5,1,0,0,1.0,1.0,2255.0,1604.0,1.0,0.0,7.0,9.0,0.462,0.549,0.5,0.5,10469
112,2016-17,21600131,11/12/2016,NYK,TOR,0,0,5,1,0,0,2.0,1.0,7566.0,19995.0,0.0,2.0,7.0,5.0,1.095,1.393,0.75,0.375,28280
113,2016-17,21600136,11/12/2016,UTA,MIA,0,0,5,1,0,0,0.0,1.0,3842.0,2505.0,3.0,0.0,12.0,8.0,3.335,0.455,0.285714285714,0.6,7971
114,2016-17,21600144,11/13/2016,DEN,POR,0,0,6,0,0,0,0.0,0.0,3010.0,3921.0,1.0,0.0,9.0,10.0,0.576,0.476,0.6,0.333333333333,13463
115,2016-17,21600142,11/13/2016,LAL,MIN,0,0,6,0,0,0,0.0,0.0,4667.0,17054.0,0.0,16.0,4.0,12.0,0.458,4.81,0.25,0.6,27046
116,2016-17,21600141,11/13/2016,ORL,OKC,0,0,6,0,0,0,1.0,0.0,1737.0,3592.0,1.0,0.0,8.0,9.0,1.285,1.337,0.666666666667,0.333333333333,28191
117,2016-17,21600143,11/13/2016,PHX,GSW,0,0,6,0,0,0,4.0,0.0,6750.0,4545.0,4.0,0.0,5.0,7.0,1.688,0.513,0.777777777778,0.3,39426
118,2016-17,21600152,11/14/2016,BKN,LAC,0,0,0,0,0,0,1.0,0.0,17054.0,19995.0,0.0,0.0,6.0,9.0,0.93,0.648,0.9,0.444444444444,13046
119,2016-17,21600146,11/14/2016,DAL,NYK,0,0,0,0,0,0,1.0,0.0,19995.0,7090.0,2.0,1.0,5.0,15.0,1.393,0.879,0.333333333333,0.25,21157
120,2016-17,21600151,11/14/2016,MEM,UTA,0,0,0,0,0,0,1.0,1.0,2505.0,1604.0,0.0,0.0,8.0,9.0,0.455,0.549,0.636363636364,0.444444444444,12146
121,2016-17,21600150,11/14/2016,MIA,SAS,0,0,0,0,0,0,1.0,0.0,2193.0,3842.0,5.0,3.0,16.0,12.0,1.278,3.335,0.7,0.25,15588
122,2016-17,21600145,11/14/2016,ORL,IND,0,0,0,0,0,0,1.0,0.0,2642.0,3592.0,0.0,0.0,11.0,9.0,0.716,1.337,0.4,0.4,14038
123,2016-17,21600154,11/15/2016,ATL,MIA,0,0,1,0,0,0,0.0,1.0,3842.0,6032.0,3.0,1.0,12.0,9.0,3.335,0.53,0.222222222222,0.777777777778,19854
124,2016-17,21600157,11/15/2016,BKN,LAL,0,0,1,0,0,0,0.0,0.0,17054.0,19995.0,16.0,0.0,12.0,9.0,4.81,0.648,0.545454545455,0.4,25781
125,2016-17,21600155,11/15/2016,CHA,MIN,0,0,1,0,0,0,0.0,1.0,4667.0,3462.0,0.0,0.0,4.0,5.0,0.458,0.516,0.333333333333,0.666666666667,16568
126,2016-17,21600156,11/15/2016,CHI,POR,0,0,1,0,0,0,0.0,1.0,3010.0,9474.0,1.0,6.0,9.0,10.0,0.576,2.505,0.636363636364,0.6,18934
127,2016-17,21600153,11/15/2016,TOR,CLE,0,0,1,0,0,0,3.0,2.0,4053.0,7566.0,1.0,0.0,7.0,7.0,1.138,1.095,0.888888888889,0.777777777778,40979
128,2016-17,21600161,11/16/2016,DAL,BOS,0,0,2,0,0,0,1.0,0.0,6448.0,7090.0,17.0,1.0,12.0,15.0,1.863,0.879,0.5,0.222222222222,11430
129,2016-17,21600165,11/16/2016,GSW,TOR,0,0,2,0,0,0,2.0,4.0,7566.0,6750.0,0.0,4.0,7.0,5.0,1.095,1.688,0.7,0.8,39188
130,2016-17,21600164,11/16/2016,HOU,OKC,0,0,2,0,0,0,1.0,1.0,1737.0,6579.0,1.0,2.0,8.0,9.0,1.285,0.985,0.545454545455,0.6,30143
131,2016-17,21600167,11/16/2016,MEM,LAC,0,0,2,0,0,0,1.0,1.0,17054.0,1604.0,0.0,0.0,6.0,9.0,0.93,0.549,0.909090909091,0.5,21758
132,2016-17,21600159,11/16/2016,NOP,ORL,0,0,2,0,0,0,0.0,1.0,3592.0,1559.0,0.0,0.0,9.0,6.0,1.337,0.457,0.363636363636,0.181818181818,8359
133,2016-17,21600166,11/16/2016,PHX,DEN,0,0,2,0,0,0,0.0,0.0,3921.0,4545.0,0.0,0.0,10.0,7.0,0.476,0.513,0.3,0.272727272727,6777
134,2016-17,21600168,11/16/2016,SAS,SAC,0,0,2,0,0,0,1.0,1.0,3400.0,2193.0,1.0,5.0,6.0,16.0,0.459,1.278,0.363636363636,0.727272727273,14713
135,2016-17,21600158,11/16/2016,WAS,PHI,0,0,2,0,0,0,0.0,1.0,7468.0,5982.0,3.0,1.0,8.0,6.0,0.618,0.493,0.1,0.222222222222,15267
136,2016-17,21600173,11/17/2016,CHI,UTA,0,0,3,0,0,0,1.0,1.0,2505.0,9474.0,0.0,6.0,8.0,10.0,0.455,2.505,0.583333333333,0.636363636364,17728
137,2016-17,21600169,11/17/2016,NYK,WAS,0,0,3,0,0,0,1.0,1.0,5982.0,19995.0,1.0,2.0,6.0,5.0,0.493,1.393,0.2,0.454545454545,23430
138,2016-17,21600172,11/17/2016,PHI,MIN,0,0,3,0,0,0,0.0,0.0,4667.0,7468.0,0.0,3.0,4.0,8.0,0.458,0.618,0.3,0.181818181818,12168
139,2016-17,21600171,11/17/2016,POR,HOU,0,0,3,0,0,0,1.0,0.0,6579.0,3010.0,2.0,1.0,9.0,9.0,0.985,0.576,0.545454545455,0.583333333333,15024
140,2016-17,21600174,11/18/2016,ATL,CHA,0,0,4,0,0,0,1.0,1.0,3462.0,6032.0,0.0,1.0,5.0,9.0,0.516,0.53,0.7,0.818181818182,18471
141,2016-17,21600175,11/18/2016,DET,CLE,0,0,4,0,0,0,3.0,0.0,4053.0,4938.0,1.0,3.0,7.0,9.0,1.138,0.518,0.818181818182,0.5,22137
142,2016-17,21600179,11/18/2016,GSW,BOS,0,0,4,0,0,0,1.0,4.0,6448.0,6750.0,17.0,4.0,12.0,5.0,1.863,1.688,0.545454545455,0.818181818182,31186
143,2016-17,21600183,11/18/2016,LAC,SAC,0,0,4,0,0,0,1.0,1.0,3400.0,17054.0,1.0,0.0,6.0,6.0,0.459,0.93,0.333333333333,0.833333333333,14178
144,2016-17,21600180,11/18/2016,MEM,DAL,0,0,4,0,0,0,0.0,1.0,7090.0,1604.0,1.0,0.0,15.0,9.0,0.879,0.549,0.2,0.545454545455,7881
145,2016-17,21600177,11/18/2016,POR,NOP,0,0,4,0,0,0,1.0,0.0,1559.0,3010.0,0.0,1.0,6.0,9.0,0.457,0.576,0.166666666667,0.538461538462,9482
146,2016-17,21600182,11/18/2016,SAS,LAL,0,1,4,0,0,0,0.0,1.0,17054.0,2193.0,16.0,5.0,12.0,16.0,4.81,1.278,0.583333333333,0.75,26190
